№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы окружной центр психолого–медико–социального сопровождения	123100 1905 года улица, 5	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 242-24-66	
2	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Росток"	119361, г.Москва, ул. Большая Очаковская, д. 39, корп. 2	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(495) 437-09-57; (495) 437-97-25; (495) 437-96-89	http://rostok.mskzapad.ru
3	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Взаимодействие"	115201 г. Москва, Каширский пр.д7	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 613-52-14	http://www.vzaimodeystvie.ru/
4	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Бутово"	117042, Москва ул. Адмирала Лазарева, дом 68, корп. 3	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(495) 714-76-72	http://www.centrbutovo.ru
5	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения	123362, г. Москва, ул. Большая Набережная, д. 13	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	491-13-83	http://cpmsp.mskobr.ru
6	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения	124683, г. Москва, Зеленоград, корп. 1554	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 738-50-20	http://www.cpmss.1gb.ru
7	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Фили"	"121601, г.Москва, Филевский бульвар, д. 17, корп. ""А"""	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	738-50-84	http://fili.mskzapad.ru
8	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Митино"	125464, г. Москва, Пятницкое шоссе, д. 16, к.5	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	794-72-10	http://cpmss.moskobr.ru
9	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Открытый Мир"	127349, г. Москва, Алтуфьевского шоссе, д. 98, к. 2	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(495) 601-27-22; (495) 601-27-55; (495) 601-28-01	http://open-world.edu.ru
10	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Родник"	129336, г. Москва, улица Таймырская, дом 5	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	475-05-58	
11	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Луч"	127106, город Москва, улица Гостинничная, дом 8, корпус 1	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 745-44-80	http://luchsvao.ru
12	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Вера"	121353, г.Москва, ул. Беловежская, д. 67	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	735-35-32	http://vera.mskzapad.ru
13	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Зелёная ветка"	125252, г. Москва, ул. Новопесчаная, д. 26	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 195-99-93; (499) 198-90-01; (499) 740-63-11	http://www.zvetka.ru
14	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Зюзино"	117303, город Москва, ул. Болотниковская, дом 31	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499)794-24-70,(499) 794-24-70	http://cpmss-zuzino.ru/
15	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Феникс"	129515, г. Москва, ул. Академика Королева, дом 5	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	683-13-06	http://cpmssfenix.com
16	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Поддержка"	127055, г. Москва, улица  Новосущевская, дом 20	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 973-33-85	
17	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Юго-Восток"	109390, г. Москва, ул. Чистова,  д. 3Б	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 176-91-05	http://www.goucpmss1.ru
18	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Радинец"	129344, г. Москва, ул. Радужная, д. 5	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 184-18-90; (499) 184-30-09	http://radinec.msk.ru
19	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Северо-Восток"	127566,г. Москва, ул. Римского-Корсакова, дом 10	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 201-04-76	http://s-vcentr.narod.ru/
20	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Доверие"	125167, г. Москва, улица Красноармейская, дом 12	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	612-80-30	http://soudo.ru/udo13
21	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Ново - Переделкино"	119633, г.Москва, ул.Приречная, д. 7	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	439-14-22	http://novo-peredelkino.mskzapad.ru
22	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Лекотека"	125319, г. Москва, ул. Часовая, д. 5а	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 152-02-51; (499) 152-42-24	http://www.lekoteka.edu.ru/
23	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Раменки"	119607, г.Москва, Мичуринский проспект, д. 33, корп. 2	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	932-93-20	http://www.ramenki.mskzapad.ru
24	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Живые потоки"	121614, г.Москва, Осенний бульвар, д. 16, корп. 6	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(495) 413-94-91; (495) 413-11-15	http://zivie-potoki.mskzapad.ru
25	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Юго-Запад"	119313 Ленинский проспект, д. 89/2	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 132-89-31	http://www.center-uz.ru
