0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
66;336;336;DK____20;поле футбольное;Народный пр-т, д.17;сведения отсутствуют;16395,8048;10421,1841;0;0;поле футбольное;;нет;круглосуточно;специальное;уличные столбы освещения;да;нет;;;0;футбольные поля;Департамент культуры города Москвы;ВАО;Измайлово;нет;нет;нет;нет;нет;да;нет;нет;1037739542719;"ГАУК г. Москвы ""Измайловский ПКиО""";(499) 166-61-19;www.izmailovsky-park.ru;izmpark@mail.ru;Подтверждено;
67;435;435;DK____119;поле футбольное;Народный пр-т, д.17;сведения отсутствуют;16491,055;10455,58;0;0;поле футбольное;;нет;круглосуточно;специальное;уличные столбы освещения;да;нет;;;0;футбольные поля;Департамент культуры города Москвы;ВАО;Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1037739542719;"ГАУК г. Москвы ""Измайловский ПКиО""";(499) 166-61-19;www.izmailovsky-park.ru;izmpark@mail.ru;Подтверждено;
68;2201;2201;DOGM__1609;Государственное бюджетное образовательное учреждение города Москвы центр образования № 204 имени А.М. Горького;"Центральный / Тверской / Тихвинская ул. / Дом- 39; Стр- 2";бесплатно;6283,161;13913,4465;2111353;10329;поле футбольное;ГБОУ ЦО № 204;нет;будни с 8.30 до 20.00 выходные с 10.00 до 20.00;специальное;уличные столбы освещения;да;нет;;;10329;общеобразовательные учреждения;Департамент образования города Москвы;ЦАО;Тверской;нет;нет;нет;нет;нет;нет;нет;нет;1027739672289;ГБОУ ЦО № 204;(499) 972-62-41;co204.ru;co204@yandex.ru;;
73;1266;1266;DOGM__674;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1811 ""Измайлово""";Восточный / Восточное Измайлово / Измайловский бульв. / Дом- 52;бесплатно;19482,4665;14391,091;2115763;10443;поле футбольное;нет;нет;8.30-21.00, воскресенье 9.00-21.00;искусственное;уличные столбы освещения;нет;нет;;;10443;плоскостные спортивные сооружения;Департамент образования города Москвы;ВАО;Восточное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1027739507982;"ГБОУ ЦО № 1811 ""Измайлово""";(495) 465-25-45;cog1811.mskobr.ru;school-1811@mail.ru;;
74;2162;2162;DOGM__1570;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 440";Восточный / Восточное Измайлово / Измайловский просп. / Дом- 115;бесплатно;19728,346;13649,4123;8711;10333;поле футбольное;ГБОУ СОШ № 440;нет;будни 10:00-22:00;искусственное;без освещения;да;нет;;;10333;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Восточное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1037739195526;ГБОУ СОШ № 440;(495) 465-51-59;www.school440;school440@mail.ru;;
75;3098;3098;DOGM__2506;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 351;Восточный / Восточное Измайлово / 13-я Парковая ул. / Дом- 18А;бесплатно;19902,7483;14845,5735;2115588;10149;поле футбольное;;нет;с 15.00 до 20.00;отсыпное;без освещения;да;нет;;;10149;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Восточное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1037739716321;ГБОУ СОШ №351;(499) 463-22-81;sch351.mskobr.ru;school351@rambler.ru;;
47;3276;3276;DOGM__2684;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1487;Северный / Восточное Дегунино / Дубнинская ул. / Дом- 18А;бесплатно;4219,8252;22524,9332;2109676;11522;поле футбольное;нет;нет;с 08:00 до 14:00;искусственное;без освещения;да;нет;;;11522;общеобразовательные учреждения;Департамент образования города Москвы;САО;Восточное Дегунино;нет;нет;нет;нет;нет;нет;нет;нет;1027700476143;ГБОУ ЦО № 1487;(499) 481-35-00;cos1487.mskobr.ru;school907@mail.ru;;
102;3302;3302;DOGM__2710;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 191;Юго-Западный / Академический / Профсоюзная ул. / Дом- 15А;бесплатно;4414,9941;1240,465;2108484;9330;поле футбольное;мини-футбольная площадка;нет;до 22;искусственное;прожекторное освещение;нет;нет;;;9330;футбольные поля;Департамент образования города Москвы;ЮЗАО;Академический;нет;нет;нет;нет;нет;нет;нет;нет;1027739541720;ГБОУ СОШ № 191;(499) 125-31-28;нет;sch191@mosuzedu.ru;;
103;4304;4304;DOGM__3712;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 104;"Юго-Западный / Академический / ул. Ивана Бабушкина / Дом- 15; Корп- 5";бесплатно;4158,1183;1903,2121;2108357;9315;поле футбольное;нет;нет;8.00 до 21.00;искусственное;прожекторное освещение;да;нет;;;9315;футбольные поля;Департамент образования города Москвы;ЮЗАО;Академический;нет;нет;нет;нет;нет;нет;нет;нет;1037739166959;ГБОУ СОШ № 104;(499) 125-18-12;schuz104.mskobr.ru;gousosh104@mail.ru;;
104;2840;2840;DOGM__2248;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 584;"Юго-Западный / Академический / Профсоюзная ул. / Дом- 24; Корп- 4";бесплатно;4008,9275;1499,6023;2108360;9371;поле футбольное;;нет;с 9-00 до 21-00;искусственное;без освещения;да;нет;;;9371;общеобразовательные учреждения;Департамент образования города Москвы;ЮЗАО;Академический;нет;нет;нет;нет;нет;нет;нет;нет;1027739898471;ГБОУ СОШ № 584;(499) 125-59-21;sch584.ru;sch584@mosuzedu.ru;;
