№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Контактный телефон	Факс	Сайт	Адрес электронной почты
1	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Московская городская детская музыкальная школа имени С.С.Прокофьева»	105066, г.Москва, Токмаков пер., д.8	Центральный АО	Басманный	105066, г.Москва, Токмаков пер., д.8	(499) 261-07-11, (499) 261-03-83	(499) 261-38-67	msprokofiev.ru	msprokofiev@yandex.ru
2	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Московская городская детская музыкальная школа имени В.М.Блажевича»	123022, г.Москва, ул. Трехгорный вал, д.2/4 стр.1	Центральный АО	Пресненский	123022, г.Москва, ул. Трехгорный вал, д.2/4 стр.1	(499) 252-03-05, (495) 605-94-36	(499) 252-03-05	ms80.ru	gudikanc@yandex.ru
3	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.Н.Скрябина»	129323, г.Москва, ул. Снежная, д.24	Северо-Восточный АО	Свиблово	129323, г.Москва, ул. Снежная, д.24	(495) 180-00-66, (495) 189-01-26	(495) 180-00-65	http://dmsh23.ru/	shkolaskrybin@mail.ru
4	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Н.П.Ракова»	127055, г.Москва, Новосущевский пер., д.4	Северо-Восточный АО	Марьина Роща	127055, г.Москва, Новосущевский пер., д.4	(495) 689-11-74, (495) 689-15-55	(495) 689-11-74	http://rakovschool.ru/	dmshrakova@mail.ru
5	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.С.Калинникова»	127204, г.Москва, ул. 7-я Северная линия, д.2	Северо-Восточный АО	Северный	127204, г.Москва, ул. 7-я Северная линия, д.2	(499) 767-78-09, (499) 767-17-92, (499) 767-90-22, (499) 767-78-11	(499) 767-78-09	http://dmsh-kalinnikova.msk.muzkult.ru/	4997677809@mail.ru
6	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №92»	129343, г.Москва, ул. Амундсена, д.13	Северо-Восточный АО	Свиблово	127254, г.Москва, ул. Руставели, д.13/12 корп.2	(495) 180-61-74	(495) 180-61-74	http://dmsh92.msk.muzkult.ru/	wdtnjr92@ramdler.ru
7	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №93»	129164, г.Москва, пр-т Мира, д.118	Северо-Восточный АО	Останкинский	129164, г.Москва, пр-т Мира, д.118	(495) 687-31-43, (495) 687-31-46	(495) 687-31-46	http://dmsh93.msk.muzkult.ru/	15yk@mail.ru
8	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени М.Л.Ростроповича»	107207, г.Москва, ул. Чусовская, д.7 корп.1	Восточный АО	Гольяново	107207, г.Москва, ул. Чусовская, д.7 корп.1	(495) 464-79-87	(495) 464-79-87	http://dmsh-rostropovicha.msk.muzkult.ru/	dmsch57@mail.ru
9	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени С.В.Рахманинова»	105043, г.Москва, ул. 5-я Парковая, д.21а	Восточный АО	Измайлово	105043, г.Москва, ул. 5-я Парковая, д.21а	(499) 367-21-27, (499) 367-21-81	(499) 367-21-18	dmsh-rakhmaninova.msk.muzkult.ru	rahmaninovshool@yandex.ru
10	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Л.Н.Власенко»	105187, г.Москва, Измайловское ш., д.57	Восточный АО	Соколиная Гора	105187, г.Москва, Измайловское ш., д.57	(495) 365-36-30	(495) 365-36-30	dmsh-vlasenko.narod.ru	vlasenco@list.ru
11	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №79»	111538, г.Москва, ул. Косинская, д.10а	Восточный АО	Вешняки	111538, г.Москва, ул. Косинская, д.10а	(495) 375-00-30	(495) 375-00-30	dmsh79.msk.muzkult.ru	dms79_08@mail.ru
12	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №99»	111401, г.Москва, ул. 1-я Владимирская, д.29 корп.1	Восточный АО	Перово	111401, г.Москва, ул.1-я Владимирская, д.29 корп.1	(495) 672-8477	(495) 672-8477	dmsh99.narod.ru	dmsh99-dmsh99@rambler.ru
13	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.И.Сафонова»	105203, г.Москва, ул. Первомайская, д.128/9	Восточный АО	Восточное Измайлово	105203, г.Москва, ул. Первомайская, д.128/9	(495) 465-47-64	(495) 465-47-64	http://dmsh-safonova.msk.muzkult.ru/	fonofas87@mail.ru
14	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени П.И.Юргенсона»	107113, г.Москва, ул. Русаковская, д.23а	Восточный АО	Сокольники	107113, г.Москва, ул. Русаковская, д.23а	(499) 264-06-38	(499) 264-06-29	dmsh-yurgensona.msk.muzkult.ru	dmshjurg@mail.ru
15	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Йозефа Гайдна»	111672, г.Москва, ул. Новокосинская, д.26	Восточный АО	Новокосино	111672, г.Москва, ул. Новокосинская, д.26	(495) 702-77-21, (495) 700-03-02	(495) 702-77-21	haydn.dmsha.ru	haydn.dmsh@mail.ru
16	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Йозефа Гайдна»	111621, г.Москва, ул. Оренбургская, д.3а	Восточный АО	Новокосино	111672, г.Москва, ул. Новокосинская, д.26	(495) 702-77-21, (495) 700-03-02	(495) 702-77-21	haydn.dmsha.ru	haydn.dmsh@mail.ru
17	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Н.А.Алексеева»	109004, г.Москва, ул. Николоямская, д.42	Центральный АО	Таганский	109004, г.Москва, ул. Николоямская, д.42	(495) 915-01-35	(495) 915-01-37	dmsh30.ru	alexeev-school@yandex.ru
18	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.В.Стасова»	115054, г.Москва, Малый Строченовский пер., д.14	Центральный АО	Замоскворечье	115054, г.Москва, Малый Строченовский пер., д.14	(495) 236-30-72	(495) 236-84-96	dmsh36stasova.narod.ru	dmsh36stasova@mail.ru
19	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.К.Лядова»	123022, г.Москва, ул. 1905 года, д.8 стр.1	Центральный АО	Пресненский	123022, г.Москва, ул. 1905 года, д.8	(499) 252-19-14	(499) 252-19-14	liadov.dmsha.ru	dmsh-Ljadova@yandex.ru
20	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Вольфганга Амадея Моцарта»	109147, г.Москва, ул. Таганская, д.9 стр.5	Центральный АО	Таганский	109147, г.Москва, ул. Таганская, д.9 стр.5	(495) 912-14-28	(495) 912-25-28	http://dmsh-motcarta.msk.muzkult.ru/	mozart_00@mail.ru
21	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.И.Мурадели»	119034, г.Москва, ул. Пречистенка, д.32/1 стр.1	Центральный АО	Хамовники	119034, г.Москва, ул. Пречистенка, д.32/1 стр.1	(495) 637-37-83, (495) 637-49-86	(495) 637-37-83	muradeli.ru	muradeli-sch@allnt.ru
22	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.Ф.Одоевского»	107078, г.Москва, Докучаев пер., д.7	Центральный АО	Красносельский	107078, г.Москва, Докучаев пер., д.7 стр.1,2	(499) 975-43-74, (499) 975-37-35	(499) 975-37-35	odoevskyschool.ru	odoevsky-dmsh@list.ru
23	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Д.Б.Кабалевского»	127055, г.Москва, ул. Палиха, д.14/33 стр.1	Центральный АО	Тверской	127055, г.Москва, ул. Палиха, д.14/33 стр.1	(499) 978-43-64	(499) 978-43-64	dmsh20.ru	9784364@mail.ru
24	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Дж. Гершвина»	115035, г.Москва, ул. Садовническая, д.48 стр.3	Центральный АО	Замоскворечье	115035, г.Москва, ул. Садовническая, д. 48 стр.3	(495) 951-43-42, (495) 951-43-43, (495) 951-43-60	(495) 951-43-60	www.consort.su/school/about.html	dmsh6@rambler.ru
25	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени К.Н.Игумнова»	105062, г.Москва, ул. Покровка, д.39 стр.3	Центральный АО	Басманный	105062, г.Москва, ул. Покровка, д.39 стр.3	(495) 916-15-24, (495) 917-56-77	(495) 917-46-30	edu.of.ru/igumnovschool	igumnovschool@yandex.ru
26	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Людвига ван Бетховена»	119002, г.Москва, Большой Могильцевский пер., д.4-6	Центральный АО	Хамовники	119002, г.Москва, Большой Могильцевский пер., д.4-6	(499) 241-41-23, (499) 241-62-56	(499) 241-41-23	dmsh-beethoven.msk.muzkult.ru	beethoven-sch@mail.ru
