№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
1	Государственное бюджетное учреждение культуры города Москвы «Государственный культурный центр-музей В.С.Высоцкого «Дом Высоцкого на Таганке»	109240, г.Москва, Нижний Таганский тупик, д.3	Центральный АО	Таганский	109240, г.Москва, Нижний Таганский тупик, д.3	(495) 915-75-78, (495) 915-29-79, (495) 915-45-33	(495) 915-45-33	visotsky.ru	domvisotskogo@cumail.ru
2	Государственное бюджетное учреждение культуры города Москвы «Московский государственный музей «Дом Бурганова»	119019, г.Москва, Большой Афанасьевский пер., д.15 стр.9	Центральный АО	Хамовники	119019, г.Москва, Большой Афанасьевский пер., д.15 стр.9	(495) 695-04-29, (495) 695-45-15	(495) 695-45-15	burganov.ru	domburganova@cumail.ru
3	Государственное бюджетное учреждение культуры города Москвы «Московский государственный музей «Дом Бурганова»	119019, г.Москва, Большой Афанасьевский пер., д.17 стр.1	Центральный АО	Хамовники	119019, г.Москва, Большой Афанасьевский пер., д.15 стр.9	(495) 695-04-29, (495) 695-45-15	(495) 695-45-15	burganov.ru	domburganova@cumail.ru
4	Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Дом-музей Марины Цветаевой»	121069, г.Москва, Борисоглебский пер., д.6 стр.1	Центральный АО	Арбат	121069, г.Москва, Борисоглебский пер., д.6 стр.1	(495) 697-35-43, (495) 697-80-51	(495) 697-80-51	dommuseum.ru	muzeicvetaevoi@cumail.ru
5	Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С.Пушкина»	119034, г.Москва, ул. Пречистенка, д.12/2	Центральный АО	Хамовники	119034, г.Москва, ул. Пречистенка, д.12/2	(495) 637-26-36, (495) 637-73-61	(495) 637-73-61	pushkinmuseum.ru	muzeipushkina@cumail.ru
6	Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С.Пушкина». Мемориальная квартира А.С. Пушкина	119002, г.Москва, ул. Арбат, д.53	Центральный АО	Хамовники	119034, г.Москва, ул. Пречистенка, д.12/2	(495) 637-26-36, (495) 637-73-61	(495) 637-73-61	pushkinmuseum.ru	muzeipushkina@cumail.ru
7	Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С.Пушкина». Мемориальная квартира А. Белого	119002, г.Москва, ул. Арбат, д.55/32	Центральный АО	Хамовники	119034, г.Москва, ул. Пречистенка, д.12/2	(495) 637-26-36, (495) 637-73-61	(495) 637-73-61	pushkinmuseum.ru	muzeipushkina@cumail.ru
8	Государственное бюджетное учреждение культуры города Москвы «Государственный музей В.В.Маяковского»	101000, г.Москва, Лубянский пр-д, д.3/6 стр.4	Центральный АО	Басманный	101000, г.Москва, Лубянский пр-д, д.3/6 стр.4	(495) 621-93-96, (495) 621-95-37, (495) 628-60-92	(495) 621-93-87	mayakovsky.info	muzeimayakovskogo@cumail.ru
9	Государственное автономное учреждение культуры города Москвы «Московское объединение по музейной и выставочной работе «Музеон»	119180, г.Москва, ул. Крымский вал, д. 10	Центральный АО	Якиманка	123001, г.Москва, ул. Садовая-Кудринская, д.6	(499) 238-33-96, (499) 238-34-76	(499) 238-34-76	muzeon.ru	museon@cumail.ru
10	Государственное бюджетное учреждение культуры города Москвы «Государственный биологический музей имени К.А.Тимирязева»	123242, г.Москва, ул. Малая Грузинская, д.15	Центральный АО	Пресненский	123242, г.Москва, ул. Малая Грузинская, д.15	(499) 252-55-42, (499) 252-07-69, (499) 255-63-21	(499) 252-55-42, (499) 252-07-71	gbmt.ru	muzeitimiryazeva@cumail.ru
11	Государственное бюджетное учреждение культуры города Москвы «Государственный музей - гуманитарный центр «Преодоление» имени Н.А.Островского»	125009, г.Москва, ул. Тверская, д.14	Центральный АО	Тверской	125009, г.Москва, ул. Тверская, д.14	(495) 650-12-22	(495) 650-12-22	museumpreod.ru	muzeiostrovskogo@cumail.ru
12	Государственное бюджетное учреждение культуры города Москвы «Музейно-выставочное объединение «Столица»	125009, г.Москва, Георгиевский пер., д.3 стр.3	Центральный АО	Тверской	125373, г.Москва, Походный пр-д, вл.3 корп.1	(495) 692-51-79, (495) 692-44-59, (495) 692-62-49	(495) 692-51-79	new-manege.ru	vcstolica@cumail.ru
13	Государственное бюджетное учреждение культуры города Москвы «Музейно-выставочное объединение «Столица». ВЗ «Дом Чехова»	127006, г.Москва, ул. Малая Дмитровка, д.29 стр.4	Центральный АО	Тверской	125373, г.Москва, Походный пр-д, вл.3 корп.1	(495) 692-51-79, (495) 692-44-59, (495) 692-62-49	(495) 692-51-79	new-manege.ru	vcstolica@cumail.ru
14	Государственное бюджетное учреждение культуры города Москвы «Музейно-выставочное объединение «Столица». ЦВЗ «Манеж»	125009, г.Москва, Манежная пл., д.1	Центральный АО	Тверской	125373, г.Москва, Походный пр-д, вл.3 корп.1	(495) 692-51-79, (495) 692-44-59, (495) 692-62-49	(495) 692-51-79	new-manege.ru	vcstolica@cumail.ru
15	Государственное бюджетное учреждение культуры города Москвы «Музейно-выставочное объединение «Столица». Музей-мастерская народного художника Д.А. Налбандяна	125009, г.Москва, ул. Тверская, д.8 корп.2	Центральный АО	Тверской	125373, г.Москва, Походный пр-д, вл.3 корп.1	(495) 692-51-79, (495) 692-44-59, (495) 692-62-49	(495) 692-51-79	new-manege.ru	vcstolica@cumail.ru
16	Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы». Комплекс «Провиантские магазины»	119034, г.Москва, Зубовский б-р, д.2 стр.1	Центральный АО	Тверской	109012, г.Москва, Новая пл., д.12 стр.1	(495) 624-31-45, (495) 625-51-95	(495) 624-31-45, (495) 625-51-95	mosmuseum.ru	muzeimoskvi@cumail.ru
17	Государственное бюджетное учреждение культуры и образования города Москвы «Мультимедийный комплекс актуальных искусств»	119034, г.Москва, ул. Остоженка, д.16	Центральный АО	Хамовники	119034, г.Москва, ул. Остоженка, д.16	(495) 231-33-25, (495) 637-11-22, (495) 637-11-44	(495) 231-19-09	mdf.ru	mkai@cumail.ru
18	Государственное бюджетное учреждение культуры города Москвы «Дом русского зарубежья имени Александра Солженицына»	109004, г.Москва, ул. Нижняя Радищевская, д.2	Центральный АО	Таганский	109004, г.Москва, ул. Нижняя Радищевская, д.2	(495) 915-10-47	(495) 915-55-75	bfrz.ru	domimsolzhenitsina@cumail.ru
19	Государственное бюджетное учреждение культуры города Москвы «Музей М.А.Булгакова»	107045, г.Москва, ул. Большая Садовая, д.10, кв. 50, 41	Центральный АО	Пресненский	107045, г.Москва, ул. Большая Садовая, д.10, кв. 50, 41	(495) 699-53-66	(495) 699-53-66	bulgakovmuseum.ru	museibulgakova@cumail.ru
20	Государственное бюджетное учреждение культуры города Москвы «Московский музей народной графики»	107045, г.Москва, Малый Головин пер., д.10 стр.1	Центральный АО	Красносельский	107045, г.Москва, Малый Головин пер., д.10 стр.1	(495) 608-51-82	(495) 608-51-82	russianlubok.ru	mgmng@cumail.ru
21	Государственное бюджетное учреждение культуры города Москвы «Краеведческий музей «Дом на набережной»	119072, г.Москва, ул. Серафимовича, д.2, под.1	Центральный АО	Якиманка	119072, г.Москва, ул. Серафимовича, д.2, под.1	(495) 959-49-36	(495) 959-49-36	museumdom.narod.ru	domnanaberezhnoi@cumail.ru
22	Государственное бюджетное учреждение культуры города Москвы «Музей «Садовое кольцо»	129090, г.Москва, пр-т Мира, д.14 стр.10	Центральный АО	Мещанский	129090, г.Москва, пр-т Мира, д.14 стр.10	(495) 608-92-16, (495) 608-14-03	(495) 607-94-66	meshchanka.ru	sadovoekoltso@cumail.ru
23	Государственное бюджетное учреждение культуры города Москвы «Московский музей-усадьба Останкино»	129515, г.Москва, ул. 1-я Останкинская, д.5	Северо-Восточный АО	Останкинский	129515, г.Москва, ул. 1-я Останкинская, д.5	(495) 686-02-61, (495) 683-09-29	(495) 602-18-52	ostankino-museum.ru	museiostankino@cumail.ru
24	Государственное бюджетное учреждение культуры города Москвы «Мемориальный музей космонавтики»	129164, г.Москва, пр-т Мира, д.111	Северо-Восточный АО	Алексеевский	129164, г.Москва, пр-т Мира, д.111	(495) 602-20-73, (495) 602-20-88, (495) 683-46-86	(495) 602-20-73	cosmomuseum.ru	museikosmonavtiki@cumail.ru
25	Государственное бюджетное учреждение культуры города Москвы «Мемориальный музей космонавтики». Мемориальный дом музей Королева	129515, г.Москва, ул. 1-я Останкинская, д.28	Северо-Восточный АО	Алексеевский	129164, г.Москва, пр-т Мира, д.111	(495) 602-20-73, (495) 602-20-88, (495) 683-46-86	(495) 602-20-73	cosmomuseum.ru	museikosmonavtiki@cumail.ru
26	Государственное бюджетное учреждение культуры города Москвы «Музейно-выставочное объединение «Столица». МВЦ «Рабочий и колхознца»	129164, г.Москва, пр-т Мира, д.123б	Центральный АО	Тверской	125373, г.Москва, Походный пр-д, вл.3 корп.1	(495) 692-51-79, (495) 692-44-59, (495) 692-62-49	(495) 692-51-79	new-manege.ru	vcstolica@cumail.ru
27	Государственное бюджетное учреждение культуры города Москвы «Московский музей современного искусства»	107031, г.Москва, ул. Петровка, д.25 стр.1	Центральный АО	Тверской	107031, г.Москва, ул. Петровка, д.25 стр.1	(495) 699-80-52, (495) 699-46-14	(495) 699-46-14	mmoma.ru	museisovremiskuss@cumail.ru
28	Государственное бюджетное учреждение культуры города Москвы «Московский музей современного искусства»	123001, г.Москва, пер. Ермолаевский, д.17 стр.1	Центральный АО	Тверской	107031, г.Москва, ул. Петровка, д.25 стр.1	(495) 699-80-52, (495) 699-46-14	(495) 699-46-14	mmoma.ru	museisovremiskuss@cumail.ru
29	Государственное бюджетное учреждение культуры города Москвы «Московский музей современного искусства»	123104, г.Москва, Тверской б-р, д.9 стр.1	Центральный АО	Тверской	107031, г.Москва, ул. Петровка, д.25 стр.1	(495) 699-80-52, (495) 699-46-14	(495) 699-46-14	mmoma.ru	museisovremiskuss@cumail.ru
30	Государственное бюджетное учреждение культуры города Москвы «Московский музей современного искусства»	123557, г.Москва, ул. Большая Грузинская, д.17	Центральный АО	Тверской	107031, г.Москва, ул. Петровка, д.25 стр.1	(495) 699-80-52, (495) 699-46-14	(495) 699-46-14	mmoma.ru	museisovremiskuss@cumail.ru
31	Государственное бюджетное учреждение культуры города Москвы «Мемориальный музей А.Н.Скрябина»	119002, г.Москва, Большой Николопесковский пер., д.11	Центральный АО	Арбат	119002, г.Москва, Большой Николопесковский пер., д.11	(499) 241-19-00, (499) 241-51-56, (499) 241-19-01	(499) 241-21-52	anscriabin.ru	muzeiskrabina@cumail.ru
32	Государственное бюджетное учреждение культуры города Москвы «Московская государственная картинная галерея Народного художника СССР Ильи Глазунова»	119019, г.Москва, ул. Волхонка, д.13	Центральный АО	Хамовники	119019, г.Москва, ул. Волхонка, д.13	(495) 691-69-49, (495) 691-94-27	(495) 691-69-49	glazunov.ru	glazunovgallery@cumail.ru
33	Государственное бюджетное учреждение города Москвы «Московский государственный зоологический парк»	123242, г.Москва, ул. Большая Грузинская, д.1	Центральный АО	Пресненский	123242, г.Москва, ул. Большая Грузинская, д.1	(499) 255-60-34, (499) 605-17-17, (499) 252-35-80	(499) 973-20-56	moscowzoo.ru	zoopark@cumail.ru
34	Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С.Пушкина». Музей И.С. Тургенева	119034, г.Москва, ул. Остоженка, д.37/7 стр.1	Центральный АО	Хамовники	119034, г.Москва, ул. Пречистенка, д.12/2	(495) 637-26-36, (495) 637-73-61	(495) 637-73-61	pushkinmuseum.ru	muzeipushkina@cumail.ru
