№ строки	Название	Адрес	Телефон	Электронная почта	Режим работы
1	Государственное казенное учреждение инженерная служба района Восточное Дегунино	127591г.Москва ул.Керамический проезд,  д.57,корп.3	8(499)900-3946	guis-vd@mail.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
2	Государственное казенное учреждение инженерная служба Войковского района	г.Москва, 4-й Войковский пр., д.9	(499) 150-85-52; (495) 708-20-13	eircvoik@mail.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс - выходной
3	Государственное казенное учреждение инженерная служба района Алтуфьевский	Москва,  ул. Стандартная, д.3	8-499-902-22-20	9016791@mail.ru	вт.-пт. 09.00-20.00 (без перерыва) сб. 09.00-15.45, вс. - выходной
4	Государственное казенное учреждение инженерная служба Алексеевского района	Москва, проспект Мира, д.108	495-687-34-01	guisalex@mail.ru	вт.-пт. 09.00-20.00 (без перерыва) сб. 09.00-15.45, вс. - выходной
5	Государственное казенное учреждение инженерная служба Бабушкинского района	Москва, ул. Л.Бабушкина, д.22	8495-4724901	guisbab@mail.ru	пн.-пт. 09.00-20.00 (без перерыва), сб. 08.00-15.00, вс. - выходной
6	Государственное казенное учреждение инженерная служба района Ярославский	Москва, Ярославское ш., д.120А	8-499-188-24-25	Отсутствует	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
7	Государственное казенное учреждение инженерная служба района Южное Медведково	Москва, ул. Молодцова, д.9	499-473-35-04	5001030@mail.ru	пн.-сб. 09.00-20.00 (без перерыва), вс. - выходной
8	Государственное казенное учреждение инженерная служба района Бибирево	Москва, ул. Пришвина, д.12, к.2.	(495)601-32-38	julia2007n@rambler.ru	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
9	Государственное казенное учреждение инженерная служба района Северный	г.Москва, 9-я Северная линия, д.1, корп.1	(499)767-79-81	guis-sever@mail.ru	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
10	Государственное казенное учреждение инженерная служба Лосиноостровского района	129345, Москва, ул. Тайнинская, д.17, к.1.	8-499-185-9938	guis-losinka@ilnet.ru	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
11	Государственное казенное учреждение инженерная служба района Лианозово	г.Москва, ул.Новгородская, д.32	499-908-80-79	guislia@lianet.ru	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
12	Государственное казенное учреждение инженерная служба Бутырского района	Москва, ул. Фонвизина, д.11А	(495)610-96-47	guis.butyrskiy@gmail.com	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
13	Государственное казенное учреждение инженерная служба района Соколиная гора	г.Москва, ул. Щербаковская д.40	166 76 17	erc205@yandex.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
14	Государственное казенное учреждение инженерная служба района Сокольники	107014, г.Москва, ул.Стромынка д.3	8-499- 268-89-12	sokolniki5@rambler.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
15	Государственное казенное учреждение инженерная служба района Косино-Ухтомский	г. Москва, ул.Рудневка, д.27	8-499-721-90-31	d-k111621@yandex.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
16	Государственное казенное учреждение инженерная служба района Новогиреево	111394, Москва, Новогиреевская ул., д. 52	8-499-785-66-79	novogir@bk.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
17	Государственное казенное учреждение инженерная служба района Измайлово	105043 Москва Заводской пр-д д.25	8-499- 367-11-25	is_izmailovo@mail.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
18	Государственное казенное учреждение инженерная служба района Богородское	г.Москва, ул.Бойцовая, д.18, к.5	8-499-169-33-41	1693341@mail.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
19	Государственное казенное учреждение инженерная служба района Вешняки	111395 г.Москва Вешняковская 24А	8-499-786-32-95	guis_veshnyaki@mail.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
20	Государственное казенное учреждение инженерная служба района Ивановское	111555 г.Москва ул.Молостовых,д.3-Г	307-84-91, 307-59-21	guis_ivanovskoe@mail.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
21	Государственное казенное учреждение инженерная служба района Гольяново	107065, Москва, ул.Уссурийская, д.8	469-82-81	golyanovo.z1@mail.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
22	Государственное казенное учреждение инженерная служба района Восточный	г.Москва, ул.Девятого мая, д.28	тел.:8-499-780-67-70 факс 8-499-780-97-81	guis.vos@yandex.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
23	Государственное казенное учреждение инженерная служба района Восточное Измайлово	105077, Москва, Первомайская ул., д. 107А	645-86-39	guisvost-izm@mail.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
24	Государственное казенное учреждение инженерная служба района Некрасовка	улица 1-я Вольская, д. 22, корпус 1	(499)746-78-70	nesterova_lina@mail.ru	пн.-пт. 09.00-20.00, без перерыва, сб. 08.00-15.00 , вс. - выходной
25	Государственное казенное учреждение инженерная служба Мещанского района	г.Москва, пер.Ботанический, д.7	8-495-680-39-92	guis@inbox.ru	пн.-пт. 08.00-17.00 (без перерыва) , сб., вс.-выходной
26	Государственное казенное учреждение инженерная служба района Якиманка	119035 г. Москва 1-й Кадашевский пер.,д.9 стр.1	8-495-953-16-43/953-17-62	guis_yakimanka@mail.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб., вс.-выходной
27	Государственное казенное учреждение инженерная служба района Хамовники	119048,г.Москва,3-я Фрунзенская,д.19	8-499-242-52-04	84992425349@mail.ru	вт.-чт. 09.00-20.00 (без перерыва) , пт. 09.00-15.45, сб.,вс.-выходной
28	Государственное казенное учреждение инженерная служба Тверского района	127051 г.Москва,Цветной бульвар,д.17,корп.2	8-499-256-14-03	istver@yandex.ru	вт.-чт. 08.00-20.00 (без перерыва) , пт. 08.00-17.00, сб.,вс. - выходной
29	Государственное казенное учреждение инженерная служба Пресненского района	г.Москва, ул.Красная Пресня, д.26, стр.1	8-499-256-14-03	shulukin@yandex.ru	вт.-сб. 09.00-20.00 (без перерыва) , вс. - выходной
30	Государственное казенное учреждение инженерная служба Таганского района	109147 г.Москва Воронцовская ул.,д.21	8-495-912-44-87	gku-taganka@yandex.ru	вт.-пт. 09.00-20.00 (без перерыва) , сб.,вс. - выходной
31	Государственное казенное учреждение инженерная служба Басманного района	г.Москва, 1-й Басманный пер., д.6	8-495-607-42-68/607-04-36	guisbasman@yandex.ru	вт.-пт. 08.00-20.00 (без перерыва) , сб. 08.00-15.45, вс. - выходной
32	Государственное казенное учреждение инженерная служба района Арбат	119002 г.Москва ул.Арбат д.40 стр.2-3	8-499-241-39-53	guis@arbat-info.ru	вт.-пт. 08.00-20.00 (без перерыва) , сб.08.00-15.45, вс.-выходной
33	Государственное казенное учреждение инженерная служба Замоскворечье	г.Москва, ул.Татарская, д.5, стр.2	8-495-953-11-26 8-495-953-27-10	guis_zmsk@mail.ru	вт.-чт. 09.00-20.00 (без перерыва) , сб. 09.00-15.45, вс.-выходной
34	Государственное казенное учреждение инженерная служба Красносельского района	107140 г.Москва 2-й Новый пер.,д.4	8-499-788-22-36	mister.guis@yandex.ru	вт.-чт. 09.00-20.00 (без перерыва) , сб. 09.00-15.45, вс.-выходной
35	Государственное казенное учреждение инженерная служба Савеловского района	127287, г. Москва, ул. Башиловская, д.19	8-495-685-76-90	guissawelovskij@mail.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
36	Государственное казенное учреждение инженерная служба района Сокол	125080 г.Москва ул. Шишкина, д.7	(499) 728-16-41	guissokol@mail.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
37	Государственное казенное учреждение инженерная служба Молжаниновского района	г.Москва, ул.4-я Новоселки, д.2	(495) 510-57-53	mey@nao.mos.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
38	Государственное казенное учреждение инженерная служба Левобережного района	125195 г.Москва, ул. Смольная, д.37	457-62-71	islev@bk.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
39	Государственное казенное учреждение инженерная служба района Коптево	г.Москва, ул.Коптевская, д.22	(495) 450-68-15; (499) 767-00-55	odno.okno25@mail.ru	пн.-пт. 09.00-20.00 (без перерыва) , сб.,вс. - выходной
40	Государственное казенное учреждение ИC Тимирязевского района	г.Москва, ул.Тимирязевская, д.8, к.1	8 (495) 533-00-04	eirc-tim@mail.ru	пн.-пт. 08.00-20.00 (без перервывов) , сб.,вс.-выходной
41	Государственное казенное учреждение инженерная служба района Ховрино	125414 г.Москва ул. Клинская, д. 9	8(499)767-1793	guishovrino@mail.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
42	Государственное казенное учреждение инженерная служба Хорошевского района	г.Москва, Хорошевское ш., д.68, корп.1	8-495-941-18-17	guis_ks@mail.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
43	ГУ инженерная служба района Западное Дегунино	127486 г. Москва ул. Дегунинская д.1, корп.1	8-495-488-99-54	guis.zd@mail.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
44	Государственное казенное учреждение инженерная служба района Аэропорт	125319 г.Москва ул. Часовая, д.7,корп. 1	8(499)155-8201	is_aeroport@mail.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс - выходной
45	Государственное казенное учреждение инженерная служба района Беговой	125040 г.Москва ул. Марины Расковой, д.14	8-495-613-30-68	guisbeg@mail.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
46	Государственное казенное учреждение инженерная служба Бескудниковского района	124474, г. Москва,Бескудниковский бульвар, д.32А	8-495-488-20-80	guisbesk@mail.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб. 08.00-15.45, вс.-выходной
47	Государственное казенное учреждение инженерная служба Дмитровского района	г.Москва, ул.Клязьминская, д.11, корп.3	(495) 486-71-00; (495) 486-73-59	isdm@bk.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
48	Государственное казенное учреждение инженерная служба Головинского района	125438, г. Москва ул. Онежская, д.2, корп.3	456-42-40	gu_is-golovino@mail.ru	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс - выходной
49	Государственное казенное учреждение инженерная служба района Марфино	Москва, ул. М.Ботаническая, д.20	8-495-618-16-62	gy_us_marfino@bk.ru	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
50	Государственное казенное учреждение инженерная служба района Марьина Роща	Москва, 4-я ул. Марьиной Рощи, д.4	8-495-688-57-89	guprosha@mail.ru	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
51	Государственное казенное учреждение инженерная служба района Ростокино	г.Москва, пр-т Мира, д.183	(499) 187-98-18	guis.rostokino@mail.ru	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
52	Государственное казенное учреждение инженерная служба района Отрадное	Москва, ул. Каргопольская, д.17	499-903-09-81	p.lina@mail.ru	пн.-пт. 09.00-20.00 (без перерыва), сб., вс. - выходной
53	Государственное казенное учреждение инженерная служба района Северное Медведково	127282, Москва, ул. Тихомирова, д.1, к.2	8(499)478-39-12	sev.medvedkovo@mail.ru	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45,  вс., пн. - выходной
54	Государственное казенное учреждение инженерная служба района Останкинский	г.Москва, ул.Академика Королёва, д.9, корп.1	(495)687-87-13	gu_is@mail.ru	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45,  вс., пн. - выходной
55	Государственное казенное учреждение инженерная служба района Свиблово	Москва, Берингов проезд, 3	8-499-180-01-64	4158632@mail.ru	вт.-чт. 09.00-20.00 (без перерывов), пт. 09.00-16.45, сб.,вс. - выходной
56	Государственное казенное учреждение инженерная служба района Перово	111401, г. Москва, 3-я Владимирская, д.9а	304-04-33	guis-perovo@mail.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.45,  вс.-выходной
57	Государственное казенное учреждение инженерная служба района Преображенское	107392, г. Москва, Зельев переулок д. 3	8-499-785-55-80	preobr_vao@mail.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.45,  вс.-выходной
58	Государственное казенное учреждение инженерная служба района Новокосино	г.Москва, Суздальская ул., д.34А	тел-701-07-35; факс 702-16-11.	guis-nk@mail.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.45,  вс.-выходной
59	Государственное казенное учреждение инженерная служба района Метрогородок	г. Москва ул. Открытое Шоссе дом 19 корпус 6	8-499-966-10-65	guis_metro@mail.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
60	Государственное казенное учреждение инженерная служба района Северное Измайлово	г.Москва, ул. 15-я Парковая, д.40Б	(499) 461-49-14	elenakudinova.boss@yandex.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
61	Государственное казенное учреждение инженерная служба Донского района	г.Москва, Загородное ш., д.8, корп.8	(495) 952-81-19	eircdonskoy@rambler.ru	пн.-пт. 09.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
62	Государственное казенное учреждение инженерная служба района Москворечье-Сабурово	г.Москва, Каширское ш., д.51, к.4	(495) 344-85-49	guis_saburovo@mail.ru	пн.-пт. 08.00-20.00, сб. 08.00-15.00, без перерыва, вс. - выходной
63	Государственное казенное учреждение инженерная служба района Нагатино-Садовники	г.Москва, ул. Нагатинский бул. 12	(499) 614-81-96	erc258@mail.ru	пн.-пт. 09.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
64	Государственное казенное учреждение инженерная служба района Братеево	г.Москва, ул.Алма-Атинская д.11-1	(495) 342-33-11	eirc_brateevo@mail.ru	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
65	Государственное казенное учреждение инженерная служба района Печатники	улица Гурьянова, дом 65	(495)657-35-00	guispechat@yandex.ru	вт.-пт. 08.00-20.00, без перерыва, сб. 09.00-15.45,  вс.-выходной
66	Государственное казенное учреждение инженерная служба района Рязанский	г.Москва, ул.1-я Новокузьминская, д.10	(495)371-16-57	guis-ryazanka@yandex.ru	пн.-пт. 09.00-20.00, без перерыва, сб. 09.00-17.00,  вс. - выходной
