№ строки	Название объекта	Адрес	Ведомственная принадлежность	Телефон	Сайт	Электронная почта	Округ	Район	Тип объекта
1	ГОУ ДООЦ "Центральный"            (Парк Фестивальный)	улица Сущевский вал, дом 56	Департамент образования города Москвы	8-495-688-57-87	-	-	ЦАО	Центральный	лыжные трассы и базы (сезонные)
2	Дворец творчества детей и молодежи "На Миуссах"	2-й Щемиловский пер., дом 4	Департамент образования города Москвы	8-499-251-83-39	-	-	ЦАО	Тверской	лыжные трассы и базы (сезонные)
3	дворовая площадка	улица Рассказовская, дом 31	Федеральная	8-499-144-39-22	-	-	ЗАО	Внуково	лыжные трассы и базы (сезонные)
4	дворовая площадка	Воробьёвы горы, улица Косыгина, дом 28	Департамент физической культуры и спорта города Москвы	8-499-726- 15 -84	-	-	ЗАО	Раменки	лыжные трассы и базы (сезонные)
5	дворовая площадка	Мичуринский проспект 2, Олимпийская деревня-80	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-499-144-39-22	-	-	ЗАО	Тропарёво-Никулино	лыжные трассы и базы (сезонные)
6	дворовая площадка	Парк культуры и отдыха Фили, Б. Филёвская, дом 32, корпус 3	Департамент Культуры города Москвы	8-499-145-45-05	-	-	ЗАО	Филевский	лыжные трассы и базы (сезонные)
7	дворовая площадка	улица Академика Анохина, дом 22	Департамент природопользования и охраны окружающей среды города Москвы	8-499-726- 15 -84	-	-	ЗАО	Тропарёво-Никулино	лыжные трассы и базы (сезонные)
8	дворовая площадка	улица Варваринская, дом 2, стр. 8	Префектура	8-499-144-39-22	-	-	ЗАО	Западный	лыжные трассы и базы (сезонные)
9	дворовая площадка	улица Кременчугская, дом 36	Департамент природопользования и охраны окружающей среды города Москвы	8-499-726-15-84	-	-	ЗАО	Фили-Давыдково	лыжные трассы и базы (сезонные)
10	дворовая площадка	улица Крылатская, дом 2, стр. 5	Департамент физической культуры и спорта города Москвы	8-499-144-39-22	-	-	ЗАО	Крылатское	лыжные трассы и базы (сезонные)
11	дворовая площадка	улица Крылатские холмы, дом 1	частная	8-495-662-43-92	-	-	ЗАО	Крылатское	лыжные трассы и базы (сезонные)
12	дворовая площадка	улица Маршала Тимошенко, дом 1	Муниципалитет	8-499-144-39-22	-	-	ЗАО	Кунцево	лыжные трассы и базы (сезонные)
13	ДДТ "Усадьба Трубецких в Хамовниках"	улица Усачева, дом 1а	Департамент образования города Москвы	8-495-637-00-48	-	-	ЦАО	Хамовники	лыжные трассы и базы (сезонные)
14	Деревня Бурцево	Молжаниновский район	Префектура	499-905-47-41	-	-	САО	Молжаниновский	лыжные трассы и базы (сезонные)
15	Детский парк по Загородному шоссе	Загородное шоссе,дом 2	Префектура	8-495-958-15-90	-	-	ЮАО	Донской	лыжные трассы и базы (сезонные)
16	Джамгаровский парк (Стартовая улица)	Джамгаровский парк (Стартовая улица)	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	(495) 621-88-68	-	-	СВАО	Лосиноостровский	лыжные трассы и базы (сезонные)
17	Екатерининский парк	улица Б.Екатерининская, дом 27	Департамент социальной защиты населения города Москвы	8-495-600-63-90	-	-	ЦАО	Мещанский	лыжные трассы и базы (сезонные)
18	Зона отдыха «Терлецкая дубрава»	Свободный просп., дом 2А	Департамент природопользования и охраны окружающей среды города Москвы	8-495-918-98-40	-	-	ВАО	Ивановское	лыжные трассы и базы (сезонные)
19	Зона отдыха Борисовские пруды	улица Борисовские пруды, 2	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-495-621-88-68	-	-	ЮАО	Братеево	лыжные трассы и базы (сезонные)
20	Зона отдыха Серебряно-Виноград-ный пруд	Измайловский пр., дом 1	Департамент природопользования и охраны окружающей среды города Москвы	8-495-672-94-73	-	-	ВАО	Измайлово	лыжные трассы и базы (сезонные)
21	Ивановский лесопарк	Ивановский лесопарк	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-495-918-98-40	-	-	ВАО	Ивановское	лыжные трассы и базы (сезонные)
22	Измайловский» ПКиО	Народный просп., дом 17	Департамент природопользования и охраны окружающей среды города Москвы	8-499-166-36-55	-	-	ВАО	Измайлово	лыжные трассы и базы (сезонные)
23	Измайловский» ПКиО	Северная часть парка	Департамент природопользования и охраны окружающей среды города Москвы	8-499-166-36-55	-	-	ВАО	Измайлово	лыжные трассы и базы (сезонные)
24	Калитниковский пруд	Б.Калитниковский пр., дом 11	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-495-912-95-43	-	-	ЦАО	Таганский	лыжные трассы и базы (сезонные)
25	Кировоградские пруды	улица Кировоградская, дом 32	Префектура	8-495-315-44-64	-	-	ЮАО	Южное Чертаново	лыжные трассы и базы (сезонные)
26	Коровинское шоссе вл.25	Коровинское шоссе	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-985-411-46-45	-	-	САО	Дмитровский	лыжные трассы и базы (сезонные)
27	Кронштадский бульвар, дом 20	Кронштадский бульвар дом 20	Префектура	495-940-33-62	-	-	САО	Головинский	лыжные трассы и базы (сезонные)
28	Ландшафтный заказник «Теплый Стан»	Академика Виноградова улица, владение 12 – Островитянова улица, владение 10	Департамент природопользования и охраны окружающей среды города Москвы	8-495-438-63-72	-	-	ЮЗАО	Теплый Стан	лыжные трассы и базы (сезонные)
29	Ландшафтный парк Митино, улица Пенягинская, 14	улица Пенягинская, 14	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-499-493-01-80	-	-	СЗАО	Митино	лыжные трассы и базы (сезонные)
30	Левобережный лесопарк	улица Левобережная, дом 12	Департамент природопользования и охраны окружающей среды города Москвы	499-458-10-84	-	-	САО	Ховрино	лыжные трассы и базы (сезонные)
31	Лесной массив,  8-й микрорайон,  ( 20-21 кварталы "Крюковского" лесопарка)	ФОК "Радуга", корпус 815а	Департамент природопользования и охраны окружающей среды города Москвы	8-499-762-33-72	-	-	ЗелАО	Старое Крюково	лыжные трассы и базы (сезонные)
32	Лесной массив, 11-й микрорайон, (16 квартал "Крюковского" лесопарка)	11- мкр., корпус 1126	Департамент природопользования и охраны окружающей среды города Москвы	8-499-735-55-56	-	-	ЗелАО	Силино	лыжные трассы и базы (сезонные)
33	Лесопарк Кусково	Рассветная аллея, дом 2, корпус 2	Департамент природопользования и охраны окружающей среды города Москвы	8-499-367-89-18	-	-	ВАО	Вешняки	лыжные трассы и базы (сезонные)
34	Лесопарк,улица  Заречье, вл. 7 ПиП Кузьминки-Люблино кв. 9 (Конно-спортивная база)	слева от входа на конно-спортивную базу	Департамент природопользования и охраны окружающей среды города Москвы	8 495-258-45-60; 8 906-739-94-39	-	-	ЮВАО	Кузьминки	лыжные трассы и базы (сезонные)
35	Лесопарковая зона, 1-й микрорайон (5 квартал "Крюковского" лесопарка)	Лесопарковая зона, 1-й микрорайон, поляна "Летний кинотеатр"	Департамент природопользования и охраны окружающей среды города Москвы	8-499-736-45-86; 8-499-736-44-82	-	-	ЗелАО	Матушкино	лыжные трассы и базы (сезонные)
36	Лефортовский парк	Красноказарменная улица, дом 1	Департамент Культуры города Москвы	8 495-361-75-49	-	-	ЮВАО	Лефортово	лыжные трассы и базы (сезонные)
37	Лыжная трасса района Молжаниновский	4-е Новоселки, владение 2	Префектура	499-905-47-41	-	-	САО	Молжаниновский	лыжные трассы и базы (сезонные)
38	лыжный модуль, улица Поляны, напротив вл. 4-6	улица Поляны, напротив владение 4-6	Департамент природопользования и охраны окружающей среды города Москвы	8-495-423-23-23	-	-	ЮЗАО	Северное Бутово	лыжные трассы и базы (сезонные)
39	МГОМЗ "Коломенское"	проспект Андропова, дом 39	Департамент Культуры города Москвы	8-499-612-11-55	-	-	ЮАО	Нагатинский затон	лыжные трассы и базы (сезонные)
40	МГОМЗ "Коломенское"	проспект Андропова, дом 39	Департамент Культуры города Москвы	8-499-612-11-55	-	-	ЮАО	Нагатинский затон	лыжные трассы и базы (сезонные)
41	межкольный стадон	Между Университетским просп. и улица Косыгина	Федеральная	8-499-144-39-22	-	-	ЗАО	Гагаринский	лыжные трассы и базы (сезонные)
42	межкольный стадон	улица Лобачевского, дом 116	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-903-710-21-05	-	-	ЗАО	Раменки	лыжные трассы и базы (сезонные)
43	Московский городской Дворец детского (юношеского) творчества	Косыгина улица, дом 17	Департамент образования города Москвы	8-499-137-81-50	mgdvorec.ru	mgdvorec@mail.ru	ЮЗАО	Гагаринский	лыжные трассы и базы (сезонные)
44	Московский городской Дворец детского (юношеского) творчества	Косыгина улица, дом 17	Департамент образования города Москвы	8-499-137-81-50	mgdvorec.ru	mgdvorec@mail.ru	ЮЗАО	Гагаринский	лыжные трассы и базы (сезонные)
45	Битцевский лесопарк	Рокотова улица, дом 1/12	Департамент природопользования и охраны окружающей среды города Москвы	8-499-724-52-12	-	-	ЮЗАО	Ясенево	лыжные трассы и базы (сезонные)
46	Битцевский лесопарк	Севастопольский просп., напротив владение 66	Департамент природопользования и охраны окружающей среды города Москвы	8-499-724-52-12	-	-	ЮЗАО	Ясенево	лыжные трассы и базы (сезонные)
47	Бульварная зона,  17-й микрорайон, русло рек Каменка и Горетовка	Напротив 16 микрорайона	частная	8-499-762-33-71	-	-	ЗелАО	Крюково	лыжные трассы и базы (сезонные)
48	в парках и зонах отдыха	Проектируемый пр. № 635, дом 9	Департамент природопользования и охраны окружающей среды города Москвы	8-499-144-39-22	-	-	ЗАО	Головинский	лыжные трассы и базы (сезонные)
49	в парках и зонах отдыха	улица Барвихинская	Префектура	8-499-144-39-22	-	-	ЗАО	Можайский	лыжные трассы и базы (сезонные)
50	Вдоль Вологодского проезда	Вдоль Вологодского проезда	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	(495) 618-40-24 	-	-	СВАО	Лианозово	лыжные трассы и базы (сезонные)
51	Волгоградский проспект,    168-д, ПиП Кузьминки-Люблино кв. 16-17 (Усадьба Деда Мороза)	за Усадьбой Деда Мороза	Департамент природопользования и охраны окружающей среды города Москвы	8 495-258-45-60	-	-	ЮВАО	Кузьминки	лыжные трассы и базы (сезонные)
52	г.о.Троицк Микрорайон Б, за ГСК №8	г.о.Троицк Микрорайон Б, за ГСК №8	Федеральная	8-925-004-07-45	-	-	ТиНАО	городской округ Троицк	лыжные трассы и базы (сезонные)
53	ГАУК г.Москвы "ПКиО "Северное Тушино", улица Свободы, 56	улица Свободы, 56	Департамент Культуры города Москвы	8-499-497-03-80	-	-	СЗАО	Южное Тушино	лыжные трассы и базы (сезонные)
54	Герценский парк	Загорьевский проезд, дом 4	Департамент природопользования и охраны окружающей среды города Москвы	8-495-329-63-00	-	-	ЮАО	Бирюлёво Восточное	лыжные трассы и базы (сезонные)
55	ГМЗ "Царицыно"	КПП №7 ГМЗ "Царицыно"	Департамент Культуры города Москвы	8-495-321-63-66	-	-	ЮАО	Бирюлёво Восточное	лыжные трассы и базы (сезонные)
56	ГМЗ "Царицыно"	Пересечение Шипиловского проезда и Новоцарицынского шоссе	Департамент Культуры города Москвы	8-495-392-07-75	-	-	ЮАО	Бирюлёво Восточное	лыжные трассы и базы (сезонные)
57	Горенский лесопарк	улица Западная, дом 16Б	Департамент физической культуры и спорта города Москвы	8-499-780-15-82	-	-	ВАО	Восточный	лыжные трассы и базы (сезонные)
58	город Московский, мкр. Юго-Западный. Лесопарковая зона	мкр. Юго-Западный. Лесопарковая зона	Муниципалитет	8-495-840-08-69	-	-	ТиНАО	поселение Московский	лыжные трассы и базы (сезонные)
59	ГОУ ДООЦ "Новослободский"	улица Новослободская, дом дом 58/12	Департамент образования города Москвы	8-499-972-68-73	-	-	ЦАО	Тверской	лыжные трассы и базы (сезонные)
60	Парк-усадьба «Михалково»          (Головинские пруды)	улица Михалковская дом 38	Префектура	495-940-33-62	-	-	САО	Головинский	лыжные трассы и базы (сезонные)
61	2-ой Краснокурсантский пр-д, 12, стадион "Энергия"	2-ой Краснокурсантский пр-д, 12	Федеральная	8 495-361-75-49	-	-	ЮВАО	Лефортово	лыжные трассы и базы (сезонные)
62	6-я Северная линия (парк "Северный"	6-я Северная линия (парк "Северный"	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	(499) 767-66-18; (495) 619-94-18	-	-	СВАО	Северный	лыжные трассы и базы (сезонные)
63	9-я Северная линия, дом  1, корпус 3	9-я Северная линия, дом 1, корпус 3	Департамент природопользования и охраны окружающей среды города Москвы	(495) 619-94-18	-	-	СВАО	Северный	лыжные трассы и базы (сезонные)
64	Алтуфьевское шоссе, дом  102Б	Алтуфьевское шоссе, дом 102Б	Департамент природопользования и охраны окружающей среды города Москвы	(495) 579-29-76	-	-	СВАО	Бибирево	лыжные трассы и базы (сезонные)
65	Аршиновский парк	улица Бакинская, дом 20	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-495-621-88-68	-	-	ЮАО	Царицыно	лыжные трассы и базы (сезонные)
66	Бабушкинский ПКиО, улица  Менжинского, дом  6	Бабушкинский ПКиО улица Менжинского, дом 6	Департамент Культуры города Москвы	(499) 184-34-22	-	-	СВАО	Лосиноостровский	лыжные трассы и базы (сезонные)
67	Бирюлевский дендропарк	улица Липецкая	Департамент природопользования и охраны окружающей среды города Москвы	8-495-329-63-00	-	-	ЮАО	Бирюлёво Восточное	лыжные трассы и базы (сезонные)
68	Бирюлевский дендропарк	улица Липецкая	Департамент природопользования и охраны окружающей среды города Москвы	8-495-329-63-00	-	-	ЮАО	Бирюлёво Восточное	лыжные трассы и базы (сезонные)
69	Битцевский лесопарк	Зона отдыха «Битца» 36 км. МКАД	Департамент природопользования и охраны окружающей среды города Москвы	8-926-532-71-07	-	-	ЮЗАО	Северное Бутово	лыжные трассы и базы (сезонные)
70	Битцевский лесопарк	Инессы Арманд улица, владение 3-7	Департамент природопользования и охраны окружающей среды города Москвы	8-495-382-61-47	-	-	ЮЗАО	Ясенево	лыжные трассы и базы (сезонные)
71	Битцевский лесопарк	Красного маяка улица, владение 28 – пересечение Севастопольского просп., и улица Миклухо-Маклая, владение 65	Департамент природопользования и охраны окружающей среды города Москвы	8-495-426-00-22	-	-	ЮЗАО	Ясенево	лыжные трассы и базы (сезонные)
72	Битцевский лесопарк	Новоясеневский тупик, владение 1	Департамент природопользования и охраны окружающей среды города Москвы	8-499-724-52-12	-	-	ЮЗАО	Ясенево	лыжные трассы и базы (сезонные)
73	Битцевский лесопарк	Пересечение булица Дм. Донского и улица Акадом Глушко	Департамент природопользования и охраны окружающей среды города Москвы	8-499-744-01-90	-	-	ЮЗАО	Северное Бутово	лыжные трассы и базы (сезонные)
