№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Дополнительная информация
1	Женская консультация № 16 - филиал ГБУЗ "ГКБ № 7 ДЗМ"	115280, Москва, ул.Ленинская Слобода, д.5, стр.1	ЮАО	Воронова Нина Зиновьевна	(495)675-14-61	(495) 675-14-61	отсутствует
2	Женская консультация № 13 - филиал ГБУЗ "Родильный дом № 4 ДЗМ"	117485, Москва, ул. Профсоюзная, д.98/11	ЮЗАО	Ильина Елена Вячеславовна	(495) 336-5277	(495) 138-4485	отсутствует
3	Женская консультация № 1  - филиал ГБУЗ "Родильный дом № 10 ДЗМ"	117292, г. Москва, ул. Профсоюзная, дом 24, корп.3	ЮЗАО	Михеева Валентина Ивановна	(499) 125-0366	(499) 125-5042	отсутствует
4	Женская консультация № 2 - филиал ГБУЗ "Родильный дом № 2 ДЗМ"	127560, Москва, ул. Плещеева, д.28	СВАО	Кузьмич Ирина Николаевна	(499) 902-7688	(499) 205-66-63	отсутствует
5	Женская консультация № 5 - филиал ГБУЗ "Родильный дом № 16 ДЗМ"	125167, Москва, ул. Степана Супруна, д.3	САО	Голубева Ирина Владимировна	(495) 614-1348	(495) 614-1348	отсутствует
6	Женская консультация № 4 - филиал ГБУЗ "Родильный дом № 17 ДЗМ"	125183, Москва, 4-ый Новомихалковский проезд, д. 6	САО	Лукина Надежда Александровна	(499) 154-5270	(499) 154-5270	отсутствует
7	Женская консультация № 8 - филиал ГБУЗ "Родильный дом № 17 ДЗМ"	127411, Москва, Дмитровское шоссе, д.135	САО	Муравьева Наталья Валентиновна	(495) 614-1348	(495)484-42-01	отсутствует
8	Женская консультация № 3 - филиал ГБУЗ "Родильный дом № 4 ДЗМ"	109044, Москва, ул.1-я Дубровская, д.3	ЦАО	Коротыгина Екатерина Дмитриевна	(495) 677-1410	(495)677-16-13	отсутствует
9	Женская консультация № 6 - филиал ГБУЗ "Родильный дом № 32 ДЗМ"	101000, Москва, ул. Маросейка. д.13а	ЦАО	Зорина Елена Николаевна	(495) 621-6117	(495)623-98-84	отсутствует
10	Женская консультация № 7 - филиал ГБУЗ "Родильный дом № 32 ДЗМ"	121069, Москва, Борисоглебский пер., д.6	ЦАО	Самарина Елена Алексеевна	(495) 695-4041	(495)695-40-41	отсутствует
11	Женская консультация № 12 - филиал ГБУЗ "Родильный дом № 32 ДЗМ"	119435, Москва, ул. Малая Пироговская, д.15	ЦАО	Чепурная Юлия Юрьевна	(499) 246-5563	(499) 245-7709	отсутствует
12	Женская консультация № 15 - филиал ГБУЗ "Родильный дом № 15 ДЗМ"	107140, Москва, ул. В.Красносельская, д.17/2	ЦАО	Исмаилова Сельминат Гаджикеримовна	(499) 264-7005	(499) 264-66-90	отсутствует
13	Женская консультация № 10 - филиал ГБУЗ "ГБ № 3 ДЗМ"	124489, г. Зеленоград, Медицинский комплекс проезд 4923, д.2, стр.6	Зеленоград	Пузырькова Инесса Альбертовна	(499) 734-1493	(499)735-8249	отсутствует
14	ГБУЗ "Женская консультация № 9 ДЗМ"	117331, г. Москва, Вернадского проспект, д.33 А	ЮЗАО	Яворовская Ксения Александровна	(499)1138-23-76	(499)138-47-93	отсутствует
15	ГБУЗ "Центр планирования семьи и репродукции № 2 ДЗМ"	115162  г. Москва, ул. Шаболовка, д. 57	ЮАО	Клишина Ирина Гариковна	(499)237-91-96	(499)236-30-75	отсутствует
