№ строки	Название объекта	Адрес	Контактный телефон	Адрес электронной почты	Сайт
1	Территориальный отдел по Северному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»	ул. Селигерская, д.14	8-(499)-488-35-59	cqvot_sev@mail.ru	www.gkuqvota.ru
2	Государственное бюджетное образовательное учреждение среднего профессионального образования «Техникум профессионального обучения незанятого населения»	Рязанский проспект д.7 стр.1	8-(499)-170-63-86	tponn2010@yandex.ru	www.tponn.org
3	Государственное автономное образовательное учреждение города Москвы учебный центр «Профессионал»	ул. Академика Скрябина д.9 стр.2 литера 4	8-(495)-620-48-29	hotline@eduprof.ru	www.eduprof.ru  УчимВсех.рф
4	Государственное бюджетное учреждение города Москвы «Женский деловой Центр»	Каширское ш. д.148 корп.2	8-(495)-510-10-26	info@wbcenter.ru	www.wbcenter.ru
5	Государственное бюджетное учреждение города Москвы «Московский городской центр условий и охраны труда»	ул. Коровий Вал д.3 стр.5	8-(499)-237-02-19	info@mcot.ru	www.mcot.ru
6	Государственное казенное учреждение города Москвы «Московский центр трудового Обмена»	Колокольников пер. д.22 стр.5	8-(495)-621-17-35	mcto@yandex.ru	www.mcto.su
7	Информационный ресурсный центр Государственного казенного учреждения города Москвы «Московский центр трудового Обмена»	ул. Автозаводская, д.23, стр.15	8-(495)-677-96-26	mcto@yandex.ru	www.mcto.su
8	Центр приема заявок Государственного казенного учреждения города Москвы «Московский центр трудового Обмена»	ул. Усиевича, д.29, стр.1	8-(499)-151-15-36	mcto@yandex.ru	www.mcto.su
9	Государственное казенное учреждение города Москвы «Центр квотирования рабочих мест»	ул. Люсиновская д.37	8-(499)-237-43-46	cqvot_okri@mail.ru	www.gkuqvota.ru
10	Территориальный отдел по Центральному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»	Шелепихинское ш., д.17, корп.1	8-(495)-707-24-93	cqvot_cen@mail.ru	www.gkuqvota.ru
11	Территориальный отдел по Северо-Восточному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»	ул. Енисейская, д.28, корп.2	8-(499)-185-04-00	cqvot_svos@mail.ru	www.gkuqvota.ru
12	Территориальный отдел по Восточному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»	ул. Атарбекова, д.4а	8-(495)-964-35-47	cqvot_vost@mail.ru	www.gkuqvota.ru
13	Территориальный отдел по Юго-Восточному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»	Волгоградский проспект, д.130, корп.3	8-(495)-378-00-32	cqvot_yvos@mail.ru	www.gkuqvota.ru
14	Территориальный отдел по Южному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»	Чонгарский бульвар, д.11	8-(499)-723-18-45	cqvot_yug@mail.ru	www.gkuqvota.ru
15	Территориальный отдел по Юго-Западному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»	ул. Большая Черемушкинская, д.2, корп.5	8-(495)-779-77-67	cqvot_yzap@mail.ru	www.gkuqvota.ru
16	Территориальный отдел по Западному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»	Аминьевское ш., д.16	8-(495)-735-26-46	cqvot_zap@mail.ru	www.gkuqvota.ru
17	Территориальный отдел по Северо-Западному административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»	ул. Мещерякова, д.9	8-(495)-490-31-30	cqvot_szap@mail.ru	www.gkuqvota.ru
18	Территориальный отдел по Зеленоградскому административному округу Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»	Зеленоград, корп.841	8-(499)-710-84-33	cqvot_zel@mail.ru	www.gkuqvota.ru
19	Отдел по работе с иностранными гражданами Государственного казенного учреждения города Москвы «Центр квотирования рабочих мест»	ул. Селигерская, д.14	8-(499)-488-24-30	cqvot_okri@mail.ru	www.gkuqvota.ru
