№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы детский сад № 499	109129,  Москва, 8-я ул. Текстильщиков, д. 14/2	Бюджетное	Дошкольное образовательное учреждение	Детский сад	(499) 179-59-20	http://www.ds499.uvuo.ru
2	Государственное бюджетное образовательное учреждение города Москвы детский сад № 550	109391, г. Москва, Орехово-Зуевский проезд, дом 24	Бюджетное	Дошкольное образовательное учреждение	Детский сад	(499) 784-43-40; (499) 784-43-41	http://dsuv550.mskobr.ru
3	Государственное бюджетное образовательное учреждение города Москвы детский сад № 2647	123557 г.Москва, Новопресненский пер., дом 6а	Бюджетное	Дошкольное образовательное учреждение	Детский сад	(499) 253-28-29; (499) 253-20-78	http://ds2647.mskobr.ru/
4	Государственное бюджетное образовательное учреждение города Москвы детский сад № 674	109548, г. Москва ул. Шоссейная, д. 17	Бюджетное	Дошкольное образовательное учреждение	Детский сад	353-50-38	http://dsuv674.mskobr.ru
5	Государственное бюджетное образовательное учреждение города Москвы детский сад № 692	109429,  Москва, Капотня, 3 квартал, дом 23	Бюджетное	Дошкольное образовательное учреждение	Детский сад	355-73-47	http://ds692.uvuo.ru
6	Государственное бюджетное образовательное учреждение города Москвы детский сад № 779	109378, г. Москва, улица Федора Полетаева, дом 19, корпус 3	Бюджетное	Дошкольное образовательное учреждение	Детский сад	(495) 371-60-78	http://www.ds779.uvuo.ru
7	Государственное бюджетное образовательное учреждение города Москвы детский сад № 872	109548, Москва, ул. Гурьянова, д. 21	Бюджетное	Дошкольное образовательное учреждение	Детский сад	353-99-49	http://dsuv872mkobr.ru
8	Государственное бюджетное образовательное учреждение города Москвы детский сад №884	109129, Москва, ул. 1-я Текстильщиков, дом 11	Бюджетное	Дошкольное образовательное учреждение	Детский сад	178-71-89	http://www.ds884.uvuo.ru
9	Государственное бюджетное образовательное учреждение города Москвы детский сад № 971	109263, Москва, ул.Артюхиной, 25, к.4	Бюджетное	Дошкольное образовательное учреждение	Детский сад	179-34-41	http://DET-SAD-971.UCOZ.ru
10	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1030	109263, Москва, ул. Чистова,д. 10а	Бюджетное	Дошкольное образовательное учреждение	Детский сад	(499) 178-41-63	http://www.ds1030.ru
