№ строки	Название	Адрес	Контактный телефон	Режим работы
1	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 3	141834, Московская обл., Дмитровский р-н, п. Луговой	(496) 222-39-16	круглосуточно (администрация пн-пт 09.00 – 18.00)
2	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 5, ТиНАО	142780, г. Москва, поселение Филимонковское, пос. Филимонки	(495) 436-64-69; (498)  627-79-38	круглосуточно (администрация пн-пт 09.00 – 18.00)
3	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 10, ЮАО	142700, Московская обл., г. Видное, ул. Центральная д. 13	(495) 541-53-78	круглосуточно (администрация пн-пт 09.00 – 18.00)
4	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 13, ЮАО	142817, Московская обл., Ступинский р-н, с. Лужники	8-496-64-2-38-22	круглосуточно (администрация пн-пт 09.00 – 18.00)
5	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 18, ЮЗАО	117303, Москва, ул. Каховка д. 8	(499) 121-92-10	круглосуточно (администрация пн-пт 09.00 – 18.00)
6	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 33	143150, Московская область, Рузский район, с/п Старорузское, д. Нестерово	8 917 570 25 09	круглосуточно (администрация пн-пт 09.00 – 18.00)
7	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 4, ЗАО	121433, Москва, ул. Полосухина д. 3	(499) 144-42-12	круглосуточно (администрация пн-пт 09.00 – 18.00)
8	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 11, ЮВАО	109559, Москва, ул. Ставропольская, д. 37	(495) 350-39-38	круглосуточно (администрация пн-пт 09.00 – 18.00)
9	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 12, ВАО	105215, Москва, 9-я Парковая д.53	(499) 164-89-42	круглосуточно (администрация пн-пт 09.00 – 18.00)
10	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 16, ЮАО	115487, Москва, ул. Садовники, д. 15	(499) 612-00-47; (499) 612-24-97 факс	круглосуточно (администрация пн-пт 09.00 – 18.00)
11	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 20, ЮЗАО	117421, Москва, ул. Обручева, д. 28, кор. 4	(495) 936-57-32	круглосуточно (администрация пн-пт 09.00 – 18.00)
12	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 22, ВАО	107150, Москва, ул. Лосиноостровская, д. 27	(499) 160-02-86	круглосуточно (администрация пн-пт 09.00 – 18.00)
13	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 23, СВАО	129347,Москва, ул. Ротерта, д. 6	(499) 182-03-92	круглосуточно (администрация пн-пт 09.00 – 18.00)
14	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 25, САО	127412,Москва, ул. Талдомская, д. 6	(495) 484-30-10	круглосуточно (администрация пн-пт 09.00 – 18.00)
15	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 26, ВАО	111538, Москва, ул. Косинская, д. 8	(495) 918-76-08	круглосуточно (администрация пн-пт 09.00 – 18.00)
16	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 30, ЮАО	117525,Москва, ул. Днепропетровская, д. 14	(495) 313-40-10	круглосуточно (администрация пн-пт 09.00 – 18.00)
17	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 2	142200, Московская обл., Серпуховской р-н, п. Данки	(4967) 707-138	круглосуточно (администрация пн-пт 09.00 – 18.00)
