№ строки	Название	Адрес	Телефон	Режим работы
1	Управление социальной защиты населения Тверского района, ЦАО	г. Москва. 4-й Самотечный переулок, д.9	(495) 688-18-33, (495) 631-61-87	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
2	Управление социальной защиты населения Северного административного округа г. Москвы	г. Москва, ул. Дубнинская, д. 26, корп. 1	(499) 900-42-33, (499) 900-41-88	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
3	Управление социальной защиты населения Бескудниковского района, САО	г. Москва, ул. Дубнинская, д. 31	(499) 219-31-50, (499) 481-95-22	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
4	Управление социальной защиты населения Войковского района, САО	г. Москва, 2-ой Новоподмосковный переулок, д. 5	(499) 159-22-91, (499) 159-26-38	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
5	Управление социальной защиты населения Головинского района, САО	г. Москва, ул. Онежская, д. 9/4, корп. А.	(499) 153-30-77, (499) 154-72-52	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
6	Управление социальной защиты населения Дмитровского района, САО	г. Москва, Дмитровское ш., д. 115, корп. 1	(495) 485-68-26, (495) 485-15-27	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
7	Управление социальной защиты населения района Аэропорт, САО	г. Москва, Большой Коптевский проезд, 4	(499) 152-85-17, (499) 152-15-08	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
8	Управление социальной защиты населения района Беговой, САО	г. Москва, ул. М. Расковой, д. 16/26, корп. 3	(495) 612-20-19, (495) 614-86 -03	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
9	Управление социальной защиты населения района Восточное Дегунино, САО	г. Москва, Керамический пр-д, д. 57, корп.1	(499) 900-44-72, (499) 900-44-18	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
10	Управление социальной защиты населения района Западное Дегунино, САО	г. Москва, ул. Дегунинская, д. 1, корп. 1	(495) 489-72-98	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
11	Управление социальной защиты населения Ярославского района, СВАО	г. Москва, ул. Палехская, д. 14	(499) 188-70-74, (499) 188-78-16	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
12	Управление социальной защиты населения Восточного административного округа г. Москвы	г. Москва, ул. Буженинова, д. 12	(495) 963-01-72, (495) 964-90-05	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
13	Управление социальной защиты населения района Богородское, ВАО	г. Москва, ул. Бойцовая, д. 10 корп. 5	(499) 160-78-06, (499) 160-08-10	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
14	Управление социальной защиты населения района Вешняки, ВАО	г. Москва, ул. Молдагуловой, д. 15 а	(499) 373-00-90, (499) 373-42-40	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
15	Управление социальной защиты населения района Восточное Измайлово, ВАО	г. Москва, ул. Первомайская, д. 107 а	(495) 965-98-51, (495) 965-97-90	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
16	Управление социальной защиты населения района Гольяново, ВАО	г. Москва, Щелковское шоссе, д. 27	(499) 163-05-77, (499) 164-32-22	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
17	Управление социальной защиты населения района Ивановское, ВАО	г. Москва, Свободный пр-т, д. 19	(495) 918-45-10, (495) 918-93-21	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
18	Управление социальной защиты населения района Измайлово, ВАО	г. Москва, Заводской пр-д, д. 3	(499) 367-00-05, (499) 165-90-13	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
19	Управление социальной защиты населения района Новокосино, ВАО	г. Москва, ул. Новокосинская, д. 15, корп. 2	(495) 702-09-01, (495) 702-09-01	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
20	Управление социальной защиты населения района Перово, ВАО	г. Москва, ул. Металлургов, д. 23 а	(495) 304-44-00, (495) 304-44-16	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
21	Управление социальной защиты населения Центрального административного округа г. Москвы	г. Москва, Переяславский пер., д.6	(499) 763-18-39, (499) 763-19-17	пн 08.00-17.00, ср 08.00-17.00, перерыв 13.00-14.00
