№ строки	Название	Наименование ансамбля	Категория
1	Усадьба "Петровско-Разумовское" 189,9 га		Объект культурного наследия регионального значения
2	Усадьба Знаменское-Садки, XVIII в.		Объект культурного наследия регионального значения
3	Флигель, 1790-е, 1860-е, 1878 гг.	Усадьба генерал-фельдмаршала России П.А.Румянцева-Задунайского. В 1797-1820-х гг. здесь жил известный государственный деятель, основатель Румянцевского музея Н.П.Румянцев	Объект культурного наследия регионального значения
4	Дом	Дом с оградой, XVIII в.	Объект культурного наследия федерального значения
5	Ограда с воротами, 1907 г., 1950-е гг.	Городская усадьба Н.Н.Медынцева, 1907 г., архитектор Ф.Ф.Воскресенский, 1950-е гг.	Объект культурного наследия регионального значения
6	Ограда с воротами, 1907 г., 1950-е гг.	Городская усадьба Н.Н.Медынцева, 1907 г., архитектор Ф.Ф.Воскресенский, 1950-е гг.	Объект культурного наследия регионального значения
7	Ограда и брандмауэрная стена, кон. XIX – нач. XX вв.	Городская усадьба Деминых, кон. XIX – нач. ХХ вв., архитекторы В.И.Веригин, Н.Д.Струков, Е.И.Опуховский	Объект культурного наследия регионального значения
8	Пилоны ворот по ул. Казакова, кон. XIX – нач. XX вв.	Городская усадьба Деминых, кон. XIX – нач. ХХ вв., архитекторы В.И.Веригин, Н.Д.Струков, Е.И.Опуховский	Объект культурного наследия регионального значения
9	Флигель, 1893-1894 гг., архитектор Н.Д.Струков	Городская усадьба Деминых, кон. XIX – нач. ХХ вв., архитекторы В.И.Веригин, Н.Д.Струков, Е.И.Опуховский	Объект культурного наследия регионального значения
10	Семейное захоронение Третьяковых: захоронение Михаила Захаровича Третьякова (1801-1850 гг.), отца П.М. и С.М.Третьяковых; Александры Даниловны Третьяковой (1812-1899 гг.), матери П.М. и С.М.Третьяковых; захоронение Елизаветы Сергеевны Третьяковой (1837-1		Объект культурного наследия регионального значения
11	Ограда с парадными воротами, 1898 г., арх. Эрихсон А.Э.	Усадебный комплекс Щукина П.И., кон. XIX - нач. ХХ вв.	Объект культурного наследия федерального значения
12	Ограда с парадными воротами, 1898 г., арх. Эрихсон А.Э.	Усадебный комплекс Щукина П.И., кон. XIX - нач. ХХ вв.	Объект культурного наследия федерального значения
13	Собор Богоявленского монастыря, 1624 г., 1693 г.	Собор Богоявленского монастыря, 1624 г., 1693 г. В интерьерах - барельефы начала XVIII в. Палаты XVII в.	Объект культурного наследия федерального значения
14	Покровский собор на рву (собор Василия Блаженного) – Собор, 1554–1560 гг., зодчие Барма и Посник Яковлев. Придел, 1588 г . Крыльца, галереи и колокольня, XVII в.		Объект культурного наследия федерального значения
15	Усадьба "Грачевка", (19,2 га)		Объект культурного наследия регионального значения
16	Доходный дом, 1910-е гг., архитектор Н.И.Жерихов.Здесь в 1931-1933 гг. под руководством С.П.Королева работала группа изучения реактивного  движения  (ГИРД)	Доходные дома купца Ф.И.Афремова, нач XX в.	Объект культурного наследия регионального значения
17	Усадьба "Усачевых-Найденовых", 8,2 га.		Объект культурного наследия регионального значения
18	Арка ворот	Церковь Ивана Богослова под Вязом, 1825-1837 гг. Два дома и две арки ворот	Объект культурного наследия федерального значения
19	Церковь Ивана Богослова под Вязом, 1825-1837 гг.	Церковь Ивана Богослова под Вязом, 1825-1837 гг. Два дома и две арки ворот	Объект культурного наследия федерального значения
20	Государственный художественный историко-архитектурный и природно-ландшафтный музей-заповедник "Коломенское"		Объект культурного наследия федерального значения
21	4-е Спас-Тушинское селище		Объект культурного наследия регионального значения
22	1-й и 2-й Спас-Тушинский курганный могильник		Объект культурного наследия регионального значения
23	Братская могила Красной Армии 1941 г., перезахоронение 1978 г.		Объект культурного наследия регионального значения
24	Парк		Объект культурного наследия регионального значения
25	Ограда, 2-я половина XIX в.	Городская усадьба, XVIII - XIX вв. (Фряновская шерстопрядильная мануфактура)	Объект культурного наследия регионального значения
26	Особняк со службами, 1903-1904 гг., архитектор Л.Н.Кекушев	Городская усадьба М.Г. Понизовского	Объект культурного наследия регионального значения
27	Мавзолей Волконских, 1830-е гг.	Ансамбль Новодевичьего монастыря	
28	Часовня-усыпальница Прохоровых, 1911 г.	Ансамбль Новодевичьего монастыря	
29	Усадьба "Виноградово"		Объект культурного наследия регионального значения
30	Надворные постройки: два боковых флигеля и центральный Флигель с проездом (быв. Каретный сарай)	Опекунский совет, 1814-1825 гг.	Объект культурного наследия федерального значения
31	Надворные постройки: два боковых флигеля и центральный Флигель с проездом (быв. Каретный сарай)	Опекунский совет, 1814-1825 гг.	Объект культурного наследия федерального значения
32	Ограда с воротами, 1891 г., 1903 г., архитекторы И.И.Поздеев, Ф.Л.Контрим	Доходное владение И.И.Поздеева, конец XIX - начало XX вв.	Объект культурного наследия регионального значения
33	Доходный дом, 1892 г., архитектор И.И.Поздеев (в основе главный дом усадьбы В.Н.Никитина, 1830-е гг.)	Доходное владение И.И.Позднеева, конец XIX - начало XX вв.	Объект культурного наследия регионального значения
34	Городская усадьба (Глебовых-Стрешневых), вторая половина XVIII в., перестроена в 1884 г., арх. Ф.Н.Кольбе, К.В.Терской		Объект культурного наследия регионального значения
35	Лефортовский парк (парк МВО) (65.5 га.)		Объект культурного наследия регионального значения
36	Флигель, XVIII в., 1810 г., 1873-1876 гг.	Городская усадьба, XVIII-XIX в. Здесь в 1902-1918 гг. располагалось музыкально-драматическое училище Московского Филармонического Общества (с 1922 г. - ГИТИС). В училище преподавали В.И. Немирович-Данченко, В.Э. Мейерхольд, его окончили И.М. Москвин, Е.Н	Объект культурного наследия регионального значения
37	Кладбище	Грузинский некрополь: церковь Всех Святых в селе Всехсвятском и историческое кладбище деятелей культуры Грузии, XVII-XVIII вв.	Объект культурного наследия федерального значения
38	Церковь	Грузинский некрополь: церковь Всех Святых в селе Всехсвятском и историческое кладбище деятелей культуры Грузии, XVII-XVIII вв.	Объект культурного наследия федерального значения
39	обелиск		Объект культурного наследия федерального значения
40	двор		Объект культурного наследия федерального значения
41	Бюст В.И.Ленина, 1947 г. Ск. С.Д.Меркуров, арх. А.Ф.Жуков, гранит		Объект культурного наследия федерального значения
42	Башня главных ворот	Ансамбль Андроникова монастыря	Объект культурного наследия федерального значения
43	Башня главных ворот	Ансамбль Андроникова монастыря	Объект культурного наследия федерального значения
44	Жилой дом	Дома жилого кооператива артистов "Труженик искусства", 1927-1932 гг., архитектор В.С. Кузнецов. Здесь жили и работали артисты Малого театра: Рыжовы, Головины, Рафаиловы, Е.Н.Гоголева, В.Я.Хенкин, В.М.Барсова. В корпусе №3, в 1920-1930 гг., помещалась опе	Объект культурного наследия регионального значения
45	Жилой дом	Дома жилого кооператива артистов "Труженик искусства", 1927-1932 гг., архитектор В.С. Кузнецов. Здесь жили и работали артисты Малого театра: Рыжовы, Головины, Рафаиловы, Е.Н.Гоголева, В.Я.Хенкин, В.М.Барсова. В корпусе №3, в 1920-1930 гг., помещалась опе	Объект культурного наследия регионального значения
46	Жилой дом	Дома жилого кооператива артистов "Труженик искусства", 1927-1932 гг., архитектор В.С. Кузнецов. Здесь жили и работали артисты Малого театра: Рыжовы, Головины, Рафаиловы, Е.Н.Гоголева, В.Я.Хенкин, В.М.Барсова. В корпусе №3, в 1920-1930 гг., помещалась опе	Объект культурного наследия регионального значения
47	Жилой дом	Дома жилого кооператива артистов "Труженик искусства", 1927-1932 гг., архитектор В.С. Кузнецов. Здесь жили и работали артисты Малого театра: Рыжовы, Головины, Рафаиловы, Е.Н.Гоголева, В.Я.Хенкин, В.М.Барсова. В корпусе №3, в 1920-1930 гг., помещалась опе	Объект культурного наследия регионального значения
48	Ограда парадного въезда с калиткой, кон. XIX в	Усадьба, XVIII-XIX вв.	Объект культурного наследия федерального значения
49	Палаты, XVII в. у колокольни и у башен Никольской, Чеботарной, Сетуньской, Напрудной (стрелецкие караульни)	Ансамбль Новодевичьего монастыря	Объект культурного наследия федерального значения
50	Палаты, XVII в. у колокольни и у башен Никольской, Чеботарной, Сетуньской, Напрудной (стрелецкие караульни)	Ансамбль Новодевичьего монастыря	Объект культурного наследия федерального значения
51	Палаты, XVII в. у колокольни и у башен Никольской, Чеботарной, Сетуньской, Напрудной (стрелецкие караульни)	Ансамбль Новодевичьего монастыря	Объект культурного наследия федерального значения
52	Палаты, XVII в. у колокольни и у башен Никольской, Чеботарной, Сетуньской, Напрудной (стрелецкие караульни)	Ансамбль Новодевичьего монастыря	Объект культурного наследия федерального значения
53	Здание бывш. больничных палат Новодевичьего монастыря, в которых с 1939 по 1984 г. жил выдающийся архитектор-реставратор П.Д.Барановский.		Объект культурного наследия регионального значения
54	Ограда	Усадьба, кон. XVIII - нач. ХIХ вв.	Объект культурного наследия федерального значения
55	Ограда	Усадьба, кон. XVIII - нач. ХIХ вв.	Объект культурного наследия федерального значения
56	Дом, в котором в 1859-1863 гг. жил великий русский актер М.С.Щепкин		Объект культурного наследия регионального значения
57	Усадьба "Братцево", (40.2 га.)		Объект культурного наследия регионального значения
58	Особняк с художественными интерьерами, 1885 г., архитектор В.И.Веригин, 1894 г., архитектор Н.Д.Струков, 1909 г., архитектор Е.И.Опуховский	Городская усадьба Деминых, кон. XIX – нач. ХХ вв., архитекторы В.И.Веригин, Н.Д.Струков, Е.И.Опуховский	Объект культурного наследия регионального значения
59	Екатерининская больница, площадью 3,0 га.		Объект культурного наследия регионального значения
60	Городская усадьба Барятинских, сер. XVIII в. 1-я пол. XX в.		Объект культурного наследия регионального значения
61	Усадьба "Царицыно", 284,9 га.		Объект культурного наследия регионального значения
62	Жилой дом	Ансамбль Рогожской ямской слободы, XIX в.	Объект культурного наследия федерального значения
63	Жилой дом	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
64	Жилой дом	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
65	Жилой дом	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
66	Жилой дом	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
67	Жилой дом	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
68	Жилой дом	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
69	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
70	Жилой дом, 1925 г., арх. Братья Веснины	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
71	Жилой дом, 1928 г., арх. И. Кондаков	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
72	Жилой дом, 1928 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
73	Жилой дом, 1927 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
74	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
75	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
76	Жилой дом, 1929 г., арх. Н. Кондаков	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
