streetname,areaid,okrug,area
Выставочный переулок,17,ЦАО,Пресненский район
улица Гашека,17,ЦАО,Пресненский район
Большая Никитская улица,17,ЦАО,Пресненский район
Глубокий переулок,17,ЦАО,Пресненский район
Большой Гнездниковский переулок,17,ЦАО,Пресненский район
Малый Гнездниковский переулок,17,ЦАО,Пресненский район
Большая Грузинская улица,17,ЦАО,Пресненский район
Малая Грузинская улица,17,ЦАО,Пресненский район
Грузинская площадь,17,ЦАО,Пресненский район
улица Грузинский Вал,17,ЦАО,Пресненский район
Грузинский переулок,17,ЦАО,Пресненский район
Большой Девятинский переулок,17,ЦАО,Пресненский район
Большая Декабрьская улица,17,ЦАО,Пресненский район
Дружинниковская улица,17,ЦАО,Пресненский район
Елисеевский переулок,17,ЦАО,Пресненский район
улица Ермакова Роща,17,ЦАО,Пресненский район
улица Анатолия Живова,17,ЦАО,Пресненский район
Ермолаевский переулок,17,ЦАО,Пресненский район
улица Заморенова,17,ЦАО,Пресненский район
2-я Звенигородская улица,17,ЦАО,Пресненский район
2-й Звенигородский переулок,17,ЦАО,Пресненский район
4-й Звенигородский переулок,17,ЦАО,Пресненский район
Звенигородское шоссе,17,ЦАО,Пресненский район
1-й Земельный переулок,17,ЦАО,Пресненский район
Зоологическая улица,17,ЦАО,Пресненский район
Зоологический переулок,17,ЦАО,Пресненский район
Калашный переулок,17,ЦАО,Пресненский район
переулок Капранова,17,ЦАО,Пресненский район
Малая Никитская улица,17,ЦАО,Пресненский район
Нижний Кисловский переулок,17,ЦАО,Пресненский район
Средний Кисловский переулок,17,ЦАО,Пресненский район
улица Климашкина,17,ЦАО,Пресненский район
Малый Козихинский переулок,17,ЦАО,Пресненский район
Большой Кондратьевский переулок,17,ЦАО,Пресненский район
Средний Кондратьевский переулок,17,ЦАО,Пресненский район
Конюшковская улица,17,ЦАО,Пресненский район
Большой Конюшковский переулок,17,ЦАО,Пресненский район
Малый Конюшковский переулок,17,ЦАО,Пресненский район
улица Костикова,17,ЦАО,Пресненский район
переулок Красина,17,ЦАО,Пресненский район
улица Красина,17,ЦАО,Пресненский район
улица Красная Пресня,17,ЦАО,Пресненский район
3-я Красногвардейская улица,17,ЦАО,Пресненский район
Красногвардейский бульвар,17,ЦАО,Пресненский район
1-й Красногвардейский проезд,17,ЦАО,Пресненский район
2-й Красногвардейский проезд,17,ЦАО,Пресненский район
Тестовская улица,17,ЦАО,Пресненский район
Краснопресненская набережная,17,ЦАО,Пресненский район
площадь Краснопресненская Застава,17,ЦАО,Пресненский район
Кудринский переулок,17,ЦАО,Пресненский район
улица Литвина-Седого,17,ЦАО,Пресненский район
2-я Магистральная улица,17,ЦАО,Пресненский район
3-я Магистральная улица,17,ЦАО,Пресненский район
улица Сергея Макеева,17,ЦАО,Пресненский район
Мантулинская улица,17,ЦАО,Пресненский район
Медвежий переулок,17,ЦАО,Пресненский район
Мерзляковский переулок,17,ЦАО,Пресненский район
Большой Патриарший переулок,17,ЦАО,Пресненский район
Мукомольный проезд,17,ЦАО,Пресненский район
Брюсов переулок,17,ЦАО,Пресненский район
площадь Никитские Ворота,17,ЦАО,Пресненский район
улица Николаева,17,ЦАО,Пресненский район
Николоваганьковский переулок,17,ЦАО,Пресненский район
Нововаганьковский переулок,17,ЦАО,Пресненский район
Новопресненский переулок,17,ЦАО,Пресненский район
Ножовый переулок,17,ЦАО,Пресненский район
Газетный переулок,17,ЦАО,Пресненский район
Большой Козихинский переулок,17,ЦАО,Пресненский район
Малый Патриарший переулок,17,ЦАО,Пресненский район
улица Подвойского,17,ЦАО,Пресненский район
Верхний Предтеченский переулок,17,ЦАО,Пресненский район
Малый Предтеченский переулок,17,ЦАО,Пресненский район
Пресненская набережная,17,ЦАО,Пресненский район
улица Пресненский Вал,17,ЦАО,Пресненский район
Пресненский переулок,17,ЦАО,Пресненский район
Причальный проезд,17,ЦАО,Пресненский район
Прокудинский переулок,17,ЦАО,Пресненский район
Расторгуевский переулок,17,ЦАО,Пресненский район
Малый Ржевский переулок,17,ЦАО,Пресненский район
Рочдельская улица,17,ЦАО,Пресненский район
Большая Садовая улица,17,ЦАО,Пресненский район
Садовая-Кудринская улица,17,ЦАО,Пресненский район
площадь Свободной России,17,ЦАО,Пресненский район
улица Анны Северьяновой,17,ЦАО,Пресненский район
Большой Кисловский переулок,17,ЦАО,Пресненский район
Скарятинский переулок,17,ЦАО,Пресненский район
Скатертный переулок,17,ЦАО,Пресненский район
Малый Кисловский переулок,17,ЦАО,Пресненский район
Спиридоньевский переулок,17,ЦАО,Пресненский район
Леонтьевский переулок,17,ЦАО,Пресненский район
Вознесенский переулок,17,ЦАО,Пресненский район
Столовый переулок,17,ЦАО,Пресненский район
Столярный переулок,17,ЦАО,Пресненский район
Стрельбищенский переулок,17,ЦАО,Пресненский район
Студенецкий переулок,17,ЦАО,Пресненский район
Никитский бульвар,17,ЦАО,Пресненский район
Сытинский переулок,17,ЦАО,Пресненский район
Сытинский тупик,17,ЦАО,Пресненский район
Тверской бульвар,17,ЦАО,Пресненский район
Тишинская площадь,17,ЦАО,Пресненский район
Большой Тишинский переулок,17,ЦАО,Пресненский район
Малый Тишинский переулок,17,ЦАО,Пресненский район
Средний Тишинский переулок,17,ЦАО,Пресненский район
улица Спиридоновка,17,ЦАО,Пресненский район
улица Трёхгорный Вал,17,ЦАО,Пресненский район
Большой Трёхгорный переулок,17,ЦАО,Пресненский район
Малый Трёхгорный переулок,17,ЦАО,Пресненский район
Средний Трёхгорный переулок,17,ЦАО,Пресненский район
Трёхпрудный переулок,17,ЦАО,Пресненский район
улица 1905 Года,17,ЦАО,Пресненский район
улица Юлиуса Фучика,17,ЦАО,Пресненский район
Хлебный переулок,17,ЦАО,Пресненский район
Хлыновский тупик,17,ЦАО,Пресненский район
Ходынская улица,17,ЦАО,Пресненский район
Новинский бульвар,17,ЦАО,Пресненский район
2-я Черногрязская улица,17,ЦАО,Пресненский район
Шведский тупик,17,ЦАО,Пресненский район
1-я улица Шелепихи,17,ЦАО,Пресненский район
Шелепихинское шоссе,17,ЦАО,Пресненский район
Шелепихинская набережная,17,ЦАО,Пресненский район
Шелепихинский тупик,17,ЦАО,Пресненский район
Шмитовский проезд,17,ЦАО,Пресненский район
Гранатный переулок,17,ЦАО,Пресненский район
Электрический переулок,17,ЦАО,Пресненский район
Большой Палашёвский переулок,17,ЦАО,Пресненский район
Новоарбатский мост,17,ЦАО,Пресненский район
Малое кольцо Московской железной дороги (МКМЖД),17,ЦАО,Пресненский район
мост Багратион,17,ЦАО,Пресненский район
Шелепихинский мост,17,ЦАО,Пресненский район
Абельмановская улица,18,ЦАО,Таганский район
площадь Абельмановская Застава,18,ЦАО,Таганский район
Большая Андроньевская улица,18,ЦАО,Таганский район
Малая Андроньевская улица,18,ЦАО,Таганский район
Андроньевская набережная,18,ЦАО,Таганский район
Андроньевский проезд,18,ЦАО,Таганский район
Арбатецкая улица,18,ЦАО,Таганский район
Аристарховский переулок,18,ЦАО,Таганский район
Певческий переулок,18,ЦАО,Таганский район
Беленовский проезд,18,ЦАО,Таганский район
Берников переулок,18,ЦАО,Таганский район
Берниковская набережная,18,ЦАО,Таганский район
Библиотечная улица,18,ЦАО,Таганский район
Брошевский переулок,18,ЦАО,Таганский район
площадь Варварские Ворота,18,ЦАО,Таганский район
Большой Ватин переулок,18,ЦАО,Таганский район
Ведерников переулок,18,ЦАО,Таганский район
Вековая улица,18,ЦАО,Таганский район
Волгоградский проспект,18,ЦАО,Таганский район
Воловья улица,18,ЦАО,Таганский район
Гончарная улица,18,ЦАО,Таганский район
Волочаевская улица,18,ЦАО,Таганский район
Воронцовская улица,18,ЦАО,Таганский район
Воронцовский переулок,18,ЦАО,Таганский район
улица Гвоздева,18,ЦАО,Таганский район
Гжельский переулок,18,ЦАО,Таганский район
